,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
0,54,['NK'],LGA,New York,,U,Chicago,2019-02-01T05:51:00.000Z,2019-02-01T09:00:00.000Z,1178.35,37,224
1,54,['NK'],LGA,New York,,U,Chicago,2019-02-01T17:43:00.000Z,2019-02-01T20:58:00.000Z,1178.35,37,630
2,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T07:30:00.000Z,2019-02-01T10:41:00.000Z,1178.35,22,427
3,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T21:05:00.000Z,2019-02-02T00:16:00.000Z,1178.35,22,2422
4,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T13:00:00.000Z,2019-02-01T16:11:00.000Z,1178.35,22,682
5,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T14:00:00.000Z,2019-02-01T17:11:00.000Z,1178.35,22,509
6,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T11:00:00.000Z,2019-02-01T14:11:00.000Z,1178.35,22,791
7,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T12:30:00.000Z,2019-02-01T15:41:00.000Z,1178.35,22,1478
8,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T07:00:00.000Z,2019-02-01T10:13:00.000Z,1178.35,22,3606
9,56,['UA'],LGA,New York,,N,Chicago,2019-02-01T12:10:00.000Z,2019-02-01T15:24:00.000Z,1178.35,22,5758
10,74,['UA'],LGA,New York,,N,Chicago,2019-02-01T17:00:00.000Z,2019-02-01T20:13:00.000Z,1178.35,22,3598
11,76,['DL'],LGA,New York,,,Chicago,2019-02-01T08:30:00.000Z,2019-02-01T11:32:00.000Z,1178.35,25,347
12,76,['DL'],LGA,New York,,,Chicago,2019-02-01T06:30:00.000Z,2019-02-01T09:56:00.000Z,1178.35,25,3767
13,91,['DL'],LGA,New York,,,Chicago,2019-02-01T14:30:00.000Z,2019-02-01T17:32:00.000Z,1178.35,25,306
14,91,['DL'],LGA,New York,,,Chicago,2019-02-01T10:30:00.000Z,2019-02-01T13:32:00.000Z,1178.35,25,3966
15,91,['DL'],LGA,New York,,,Chicago,2019-02-01T11:30:00.000Z,2019-02-01T14:38:00.000Z,1178.35,25,3804
16,91,['DL'],LGA,New York,,,Chicago,2019-02-01T15:30:00.000Z,2019-02-01T18:39:00.000Z,1178.35,25,3779
17,91,['DL'],LGA,New York,,,Chicago,2019-02-01T20:30:00.000Z,2019-02-01T23:41:00.000Z,1178.35,25,310
18,91,['DL'],LGA,New York,,,Chicago,2019-02-01T16:30:00.000Z,2019-02-01T19:42:00.000Z,1178.35,25,3938
19,91,['DL'],LGA,New York,,,Chicago,2019-02-01T19:30:00.000Z,2019-02-01T22:43:00.000Z,1178.35,25,3803
20,91,['DL'],LGA,New York,,,Chicago,2019-02-01T17:30:00.000Z,2019-02-01T20:47:00.000Z,1178.35,25,3783
21,91,['DL'],LGA,New York,,,Chicago,2019-02-01T18:30:00.000Z,2019-02-01T21:48:00.000Z,1178.35,25,3799
22,91,['DL'],LGA,New York,,,Chicago,2019-02-01T13:30:00.000Z,2019-02-01T16:49:00.000Z,1178.35,25,3786
23,106,['DL'],LGA,New York,,,Chicago,2019-02-01T09:30:00.000Z,2019-02-01T12:40:00.000Z,1178.35,25,3813
24,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T15:05:00.000Z,2019-02-01T18:15:00.000Z,1178.35,22,1642
25,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T18:00:00.000Z,2019-02-01T21:11:00.000Z,1178.35,22,692
26,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T06:00:00.000Z,2019-02-01T09:10:00.000Z,1178.35,22,1172
27,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T08:00:00.000Z,2019-02-01T11:10:00.000Z,1178.35,22,1166
28,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T19:00:00.000Z,2019-02-01T22:11:00.000Z,1178.35,22,1823
29,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T16:00:00.000Z,2019-02-01T19:13:00.000Z,1178.35,22,3630
30,107,['UA'],LGA,New York,,N,Chicago,2019-02-01T10:00:00.000Z,2019-02-01T13:13:00.000Z,1178.35,22,3581
31,166,['UA'],LGA,New York,,N,Chicago,2019-02-01T09:00:00.000Z,2019-02-01T12:13:00.000Z,1178.35,22,3628
32,49,['NK'],LGA,New York,,G,Chicago,2019-02-02T05:51:00.000Z,2019-02-02T09:00:00.000Z,1178.35,37,224
33,49,['NK'],LGA,New York,,G,Chicago,2019-02-02T17:43:00.000Z,2019-02-02T20:58:00.000Z,1178.35,37,630
34,56,['UA'],LGA,New York,,N,Chicago,2019-02-02T13:00:00.000Z,2019-02-02T16:11:00.000Z,1178.35,22,682
